ROI;Condition;Subject;Volume;Vertices;PSC
V2;KANIZSA_ROTATED;1;1;5775.0;0.0006769245321100408
V2;KANIZSA_ROTATED;1;2;5775.0;0.0008028420535000888
V2;KANIZSA_ROTATED;1;3;5775.0;0.003006685863841664
V2;KANIZSA_ROTATED;1;4;5775.0;0.003951181064952503
V2;KANIZSA_ROTATED;1;5;5775.0;0.002188108184120872
V2;KANIZSA_ROTATED;1;6;5775.0;0.0023140582171353426
V2;KANIZSA_ROTATED;1;7;5775.0;0.0052735046906904745
V2;KANIZSA_ROTATED;1;8;5775.0;0.008044069463556463
V2;KANIZSA_ROTATED;1;9;5775.0;0.008673743768171831
V2;KANIZSA_ROTATED;1;10;5775.0;0.00747735933824019
V2;KANIZSA_ROTATED;2;0;7180.0;0.0014687234705144708
V2;KANIZSA_ROTATED;2;1;7180.0;-5.0653110850941054e-05
V2;KANIZSA_ROTATED;2;2;7180.0;-0.0037984197789972477
V2;KANIZSA_ROTATED;2;3;7180.0;-0.003950379111550071
V2;KANIZSA_ROTATED;2;4;7180.0;-0.004912636496803977
V2;KANIZSA_ROTATED;2;5;7180.0;-0.004558118906888095
V2;KANIZSA_ROTATED;2;6;7180.0;-0.0036464983766729183
V2;KANIZSA_ROTATED;2;7;7180.0;-0.0016206665472550826
V2;KANIZSA_ROTATED;2;8;7180.0;-0.000759699127890847
V2;KANIZSA_ROTATED;2;9;7180.0;0.0008609511635520241
V2;KANIZSA_ROTATED;2;10;7180.0;0.0026335824619640002
V2;KANIZSA_ROTATED;3;0;4974.0;0.0018642490560358221
V2;KANIZSA_ROTATED;3;1;4974.0;0.0015503687734600728
V2;KANIZSA_ROTATED;3;2;4974.0;-0.004150219540593863
V2;KANIZSA_ROTATED;3;3;4974.0;-0.007871064311192293
V2;KANIZSA_ROTATED;3;4;4974.0;-0.005403338670735866
V2;KANIZSA_ROTATED;3;5;4974.0;-0.0017898750873387942
V2;KANIZSA_ROTATED;3;6;4974.0;-0.003918370432227708
V2;KANIZSA_ROTATED;3;7;4974.0;-0.000304181128750121
V2;KANIZSA_ROTATED;3;8;4974.0;0.00423971937631993
V2;KANIZSA_ROTATED;3;9;4974.0;0.0057337160290508475
V2;KANIZSA_ROTATED;3;10;4974.0;0.005393856441719262
V2;BRIGHT_SQUARE;0;0;12379.0;0.0011089173230257902
V2;BRIGHT_SQUARE;0;1;12379.0;-0.00270987098867243
V2;BRIGHT_SQUARE;0;2;12379.0;-0.005882393230091442
