ROI;Condition;Subject;Depth;Vertices;PSC
V2;BRIGHT_SQUARE;1;5;5674.0;0.5264601127492557
V2;BRIGHT_SQUARE;1;6;5674.0;0.609264990270797
V2;BRIGHT_SQUARE;1;7;5674.0;0.6166402240925123
V2;BRIGHT_SQUARE;1;8;5674.0;0.5567267520859968
V2;BRIGHT_SQUARE;1;9;5674.0;0.47683941720729617
V2;BRIGHT_SQUARE;1;10;5674.0;0.4260515673010599
V2;BRIGHT_SQUARE;2;0;6468.0;-0.08028225552976682
V2;BRIGHT_SQUARE;2;1;6468.0;-0.07102733440327794
V2;BRIGHT_SQUARE;2;2;6468.0;-0.12420548601416402
V2;BRIGHT_SQUARE;2;3;6468.0;-0.2135547181240189
V2;BRIGHT_SQUARE;2;4;6468.0;-0.3128130384944363
V2;BRIGHT_SQUARE;2;5;6468.0;-0.3957184548870102
V2;BRIGHT_SQUARE;2;6;6468.0;-0.43600897506333425
V2;BRIGHT_SQUARE;2;7;6468.0;-0.4089803190855015
V2;BRIGHT_SQUARE;2;8;6468.0;-0.3269347249861726
V2;BRIGHT_SQUARE;2;9;6468.0;-0.2398481247995456
V2;BRIGHT_SQUARE;2;10;6468.0;-0.19938761142138317
V2;BRIGHT_SQUARE;3;0;6468.0;-0.13588064443018552
V2;BRIGHT_SQUARE;3;1;6468.0;-0.10885375084328743
V2;BRIGHT_SQUARE;3;2;6468.0;-0.1306322364526504
V2;BRIGHT_SQUARE;3;3;6468.0;-0.1815765893968316
V2;BRIGHT_SQUARE;3;4;6468.0;-0.24204729781438808
V2;BRIGHT_SQUARE;3;5;6468.0;-0.29240484984387705
V2;BRIGHT_SQUARE;3;6;6468.0;-0.3130097336238555
V2;BRIGHT_SQUARE;3;7;6468.0;-0.285443310520158
V2;BRIGHT_SQUARE;3;8;6468.0;-0.220291185500305
V2;BRIGHT_SQUARE;3;9;6468.0;-0.15766611329135488
V2;BRIGHT_SQUARE;3;10;6468.0;-0.1390063135462331
