ROI;Condition;Subject;Depth;Vertices;PSC
V1;CD;2;7;2913.0;-1.703058485901625
V1;CD;2;8;2913.0;-1.73312835685251
V1;CD;2;9;2913.0;-1.643149692381391
V1;CD;2;10;2913.0;-1.4007127075822492
V1;CD;3;0;2226.0;-0.9718262068667953
V1;CD;3;1;2226.0;-0.7861271336472395
V1;CD;3;2;2226.0;-0.7791512440971166
V1;CD;3;3;2226.0;-0.936345656832375
V1;CD;3;4;2226.0;-1.2431574904689633
V1;CD;3;5;2226.0;-1.6846068377963166
V1;CD;3;6;2226.0;-2.211046126904182
V1;CD;3;7;2226.0;-2.713122742922464
V1;CD;3;8;2226.0;-3.0755808659553443
V1;CD;3;9;2226.0;-3.1831646761070047
V1;CD;3;10;2226.0;-2.920618353481622
V1;CD;4;0;2177.0;-1.1206676711074552
V1;CD;4;1;2177.0;-0.9355571169683866
V1;CD;4;2;2177.0;-0.828495772489922
V1;CD;4;3;2177.0;-0.8219145476281657
V1;CD;4;4;2177.0;-0.9382443523392223
V1;CD;4;5;2177.0;-1.199385808045091
V1;CD;4;6;2177.0;-1.5841885918149345
V1;CD;4;7;2177.0;-1.9973595590333892
V1;CD;4;8;2177.0;-2.3362748563896183
V1;CD;4;9;2177.0;-2.4983106305727825
V1;CD;4;10;2177.0;-2.3808430282720416
V1;CD;5;0;3083.0;-1.4355167440651504
V1;CD;5;1;3083.0;-1.3644227532239406
V1;CD;5;2;3083.0;-1.636878389409731
V1;CD;5;3;3083.0;-2.082225304718664
V1;CD;5;4;3083.0;-2.529805151246882
V1;CD;5;5;3083.0;-2.809952396696348
V1;CD;5;6;3083.0;-2.833602250911951
V1;CD;5;7;3083.0;-2.650501430481962
V1;CD;5;8;3083.0;-2.324121334929516
V1;CD;5;9;3083.0;-1.917933363777748
V1;CD;5;10;3083.0;-1.4954089165497904
V1;CD;6;0;2164.0;-1.107388859447396
V1;CD;6;1;2164.0;-0.9645434583747455
V1;CD;6;2;2164.0;-0.9836584287891288
V1;CD;6;3;2164.0;-1.1002811438623503
V1;CD;6;4;2164.0;-1.249958976766214
V1;CD;6;5;2164.0;-1.3685041080108875
V1;CD;6;6;2164.0;-1.413226837064125
V1;CD;6;7;2164.0;-1.3784617662141136
V1;CD;6;8;2164.0;-1.2622041943945594
V1;CD;6;9;2164.0;-1.0624494205391661
V1;CD;6;10;2164.0;-0.7771927435816387
V2;PD;0;0;5259.0;-0.968476301281255
V2;PD;0;1;5259.0;-0.7756282081026024
V2;PD;0;2;5259.0;-0.8398650966955686
V2;PD;0;3;5259.0;-1.0809766908119738
V2;PD;0;4;5259.0;-1.418752714203637
V2;PD;0;5;5259.0;-1.7729828906223783
V2;PD;0;6;5259.0;-2.0634569438200163
V2;PD;0;7;5259.0;-2.211961542844373
V2;PD;0;8;5259.0;-2.1877247180004677
V2;PD;0;9;5259.0;-2.0082711625876986
V2;PD;0;10;5259.0;-1.693293592669492
V2;PD;1;0;4124.0;-1.4998550812425802
V2;PD;1;1;4124.0;-1.2794792538409043
V2;PD;1;2;4124.0;-1.346742866144993
V2;PD;1;3;4124.0;-1.6041343724938908
V2;PD;1;4;4124.0;-1.954142227226643
V2;PD;1;5;4124.0;-2.299254884682295
V2;PD;1;6;4124.0;-2.5419607991998916
V2;PD;1;7;4124.0;-2.588447393304867
V2;PD;1;8;4124.0;-2.432778350510223
V2;PD;1;9;4124.0;-2.1584779020378235
V2;PD;1;10;4124.0;-1.8530861363528683
V2;PD;2;0;2180.0;-0.755044557752262
V2;PD;2;1;2180.0;-0.5935989094573193
V2;PD;2;2;2180.0;-0.6271815703349989
V2;PD;2;3;2180.0;-0.7887501413512729
V2;PD;2;4;2180.0;-1.0112622234721131
V2;PD;2;5;2180.0;-1.2276754176634923
V2;PD;2;6;2180.0;-1.3709473248913822
V2;PD;2;7;2180.0;-1.377041858401076
V2;PD;2;8;2180.0;-1.253343789676073
V2;PD;2;9;2180.0;-1.0799463671425875
V2;PD;2;10;2180.0;-0.9402067010213401
V2;PD;3;0;2749.0;-1.0508359799238474
V2;PD;3;1;2749.0;-0.9090739195026446
V2;PD;3;2;2749.0;-1.0195066535060195
V2;PD;3;3;2749.0;-1.292684294750371
V2;PD;3;4;2749.0;-1.6391569560520975
V2;PD;3;5;2749.0;-1.9694747502275984
V2;PD;3;6;2749.0;-2.194187790093272
V2;PD;3;7;2749.0;-2.2273595934949046
V2;PD;3;8;2749.0;-2.066521521676747
V2;PD;3;9;2749.0;-1.79417758836721
V2;PD;3;10;2749.0;-1.4966462042630175
V2;PD;4;0;1999.0;-1.6521429603251983
V2;PD;4;1;1999.0;-1.4205538638605304
V2;PD;4;2;1999.0;-1.52240043491032
V2;PD;4;3;1999.0;-1.8421655879217032
V2;PD;4;4;1999.0;-2.264332237341816
V2;PD;4;5;1999.0;-2.6733832976177947
V2;PD;4;6;1999.0;-2.953801683196775
V2;PD;4;7;1999.0;-2.994812823015733
V2;PD;4;8;1999.0;-2.798309900922294
V2;PD;4;9;1999.0;-2.4808850985384714
V2;PD;4;10;1999.0;-2.1642794012082835
V2;PD;5;0;3020.0;-1.4529513230595403
V2;PD;5;1;3020.0;-1.2298101820680414
V2;PD;5;2;3020.0;-1.3875136685669822
V2;PD;5;3;3020.0;-1.770333764932817
V2;PD;5;4;3020.0;-2.2225424535419984
V2;PD;5;5;3020.0;-2.5884117167709815
V2;PD;5;6;3020.0;-2.7122135369962175
V2;PD;5;7;3020.0;-2.4474138488413146
V2;PD;5;8;3020.0;-1.8658989967486999
V2;PD;5;9;3020.0;-1.261913551075192
V2;PD;5;10;3020.0;-0.9396836764671983
V2;PD;6;0;275.0;-1.1509966063664707
V2;PD;6;1;275.0;-0.8363001495234278
V2;PD;6;2;275.0;-0.7257447938029522
V2;PD;6;3;275.0;-0.7592562654818763
V2;PD;6;4;275.0;-0.8767602908370319
V2;PD;6;5;275.0;-1.018182596145251
V2;PD;6;6;275.0;-1.1234489076833656
V2;PD;6;7;275.0;-1.1346719927912896
V2;PD;6;8;275.0;-1.0459220787181842
V2;PD;6;9;275.0;-0.9041635733349818
V2;PD;6;10;275.0;-0.7587352884685548
V2;PS;0;0;5259.0;-1.1825326847968207
V2;PS;0;1;5259.0;-1.0207821574902554
V2;PS;0;2;5259.0;-1.1571651592307173
V2;PS;0;3;5259.0;-1.4837118940517755
V2;PS;0;4;5259.0;-1.892452565987
V2;PS;0;5;5259.0;-2.2754173790699594
V2;PS;0;6;5259.0;-2.5246365373342243
V2;PS;0;7;5259.0;-2.5369036161082934
V2;PS;0;8;5259.0;-2.3221754400381736
V2;PS;0;9;5259.0;-2.005612259025879
V2;PS;0;10;5259.0;-1.7175457702942856
V2;PS;1;0;4124.0;-1.542977032501087
V2;PS;1;1;4124.0;-1.3172347993208446
V2;PS;1;2;4124.0;-1.368846141364861
V2;PS;1;3;4124.0;-1.6053186560817807
V2;PS;1;4;4124.0;-1.9341599409202475
V2;PS;1;5;4124.0;-2.2628775933289047
V2;PS;1;6;4124.0;-2.4989792107563975
V2;PS;1;7;4124.0;-2.5532316971705313
V2;PS;1;8;4124.0;-2.413833190300536
V2;PS;1;9;4124.0;-2.1478090390498847
V2;PS;1;10;4124.0;-1.8257231222670725
V2;PS;2;0;2180.0;-1.0521825601302126
V2;PS;2;1;2180.0;-0.8842030784186408
V2;PS;2;2;2180.0;-0.9333071251011573
V2;PS;2;3;2180.0;-1.1152664443385407
V2;PS;2;4;2180.0;-1.345852780291569
V2;PS;2;5;2180.0;-1.5408378771210198
