ROI;Condition;Subject;Volume;Vertices;PSC
V2;KANIZSA_ROTATED;1;9;2213.0;0.01573348045349121
V2;KANIZSA_ROTATED;1;10;2213.0;0.007846192880110308
V2;KANIZSA_ROTATED;2;0;1216.0;0.0024671229449185457
V2;KANIZSA_ROTATED;2;1;1216.0;0.006952740929343484
V2;KANIZSA_ROTATED;2;2;1216.0;0.01173744418404319
V2;KANIZSA_ROTATED;2;3;1216.0;0.015550234101035378
V2;KANIZSA_ROTATED;2;4;1216.0;0.015026905319907448
V2;KANIZSA_ROTATED;2;5;1216.0;0.015998818657614967
V2;KANIZSA_ROTATED;2;6;1216.0;0.011587923223322088
V2;KANIZSA_ROTATED;2;7;1216.0;0.01569975506175648
V2;KANIZSA_ROTATED;2;8;1216.0;0.014952139420942827
V2;KANIZSA_ROTATED;2;9;1216.0;0.010541243986649946
V2;KANIZSA_ROTATED;2;10;1216.0;0.004037076776677912
V2;KANIZSA_ROTATED;3;0;1359.0;0.00441499189897013
V2;KANIZSA_ROTATED;3;1;1359.0;0.007700891606719929
V2;KANIZSA_ROTATED;3;2;1359.0;0.01330942569286142
V2;KANIZSA_ROTATED;3;3;1359.0;0.012644539506863102
V2;KANIZSA_ROTATED;3;4;1359.0;0.013235622727862011
V2;KANIZSA_ROTATED;3;5;1359.0;0.01109929171410563
V2;KANIZSA_ROTATED;3;6;1359.0;0.01027250475656959
V2;KANIZSA_ROTATED;3;7;1359.0;0.010831632816129512
V2;KANIZSA_ROTATED;3;8;1359.0;0.009106872953846339
V2;KANIZSA_ROTATED;3;9;1359.0;0.005017119433248068
V2;KANIZSA_ROTATED;3;10;1359.0;0.003681805293275785
V2;BRIGHT_SQUARE;0;0;2329.0;0.00230297175320712
V2;BRIGHT_SQUARE;0;1;2329.0;0.012139439582824707
V2;BRIGHT_SQUARE;0;2;2329.0;0.02033645456487482
V2;BRIGHT_SQUARE;0;3;2329.0;0.02587923136624423
V2;BRIGHT_SQUARE;0;4;2329.0;0.023146878589283337
V2;BRIGHT_SQUARE;0;5;2329.0;0.021273266185413708
V2;BRIGHT_SQUARE;0;6;2329.0;0.022366209463639694
V2;BRIGHT_SQUARE;0;7;2329.0;0.02353721315210516
V2;BRIGHT_SQUARE;0;8;2329.0;0.017135706814852627
V2;BRIGHT_SQUARE;0;9;2329.0;0.014949841932816938
V2;BRIGHT_SQUARE;0;10;2329.0;0.010343876751986418
V2;BRIGHT_SQUARE;1;0;2213.0;0.0024236874146894975
V2;BRIGHT_SQUARE;1;1;2213.0;0.010393142700195312
V2;BRIGHT_SQUARE;1;2;2213.0;0.018444733186201615
V2;BRIGHT_SQUARE;1;3;2213.0;0.022388360717079857
V2;BRIGHT_SQUARE;1;4;2213.0;0.02271700989116322
V2;BRIGHT_SQUARE;1;5;2213.0;0.021977576342496006
V2;BRIGHT_SQUARE;1;6;2213.0;0.024113687601956455
V2;BRIGHT_SQUARE;1;7;2213.0;0.025592576373707165
V2;BRIGHT_SQUARE;1;8;2213.0;0.018526868386702103
V2;BRIGHT_SQUARE;1;9;2213.0;0.012282805009321733
V2;BRIGHT_SQUARE;1;10;2213.0;0.007846203717318449
V2;BRIGHT_SQUARE;2;0;1216.0;0.0014952367002313788
V2;BRIGHT_SQUARE;2;1;1216.0;0.007102272727272727
V2;BRIGHT_SQUARE;2;2;1216.0;0.013083154504949396
V2;BRIGHT_SQUARE;2;3;1216.0;0.020409692417491566
V2;BRIGHT_SQUARE;2;4;1216.0;0.020409670743075283
V2;BRIGHT_SQUARE;2;5;1216.0;0.01839115402915261
V2;BRIGHT_SQUARE;2;6;1216.0;0.016746423461220482
V2;BRIGHT_SQUARE;2;7;1216.0;0.01450358737598766
V2;BRIGHT_SQUARE;2;8;1216.0;0.012410293925892223
V2;BRIGHT_SQUARE;2;9;1216.0;0.007924632592634722
V2;BRIGHT_SQUARE;2;10;1216.0;0.007550835609436035
V2;BRIGHT_SQUARE;3;0;1359.0;0.0014952367002313788
V2;BRIGHT_SQUARE;3;1;1359.0;0.007102272727272727
V2;BRIGHT_SQUARE;3;2;1359.0;0.013083154504949396
V2;BRIGHT_SQUARE;3;3;1359.0;0.020409692417491566
V2;BRIGHT_SQUARE;3;4;1359.0;0.020409670743075283
V2;BRIGHT_SQUARE;3;5;1359.0;0.01839115402915261
V2;BRIGHT_SQUARE;3;6;1359.0;0.016746423461220482
V2;BRIGHT_SQUARE;3;7;1359.0;0.01450358737598766
V2;BRIGHT_SQUARE;3;8;1359.0;0.012410293925892223
V2;BRIGHT_SQUARE;3;9;1359.0;0.007924632592634722
V2;BRIGHT_SQUARE;3;10;1359.0;0.007550835609436035
