ROI;Condition;Subject;Depth;PSC
V1;CD;3;7;-3.4734679098522014
V1;CD;3;8;-4.256840391254916
V1;CD;3;9;-5.031891183652931
V1;CD;3;10;-5.5286255128900565
V1;CD;4;0;-1.1206676711074552
V1;CD;4;1;-1.165013885024015
V1;CD;4;2;-1.2157999506006294
V1;CD;4;3;-1.32819998274873
V1;CD;4;4;-1.4870397766917607
V1;CD;4;5;-1.7102876775462634
V1;CD;4;6;-2.1051221520453343
V1;CD;4;7;-2.6190056179786114
V1;CD;4;8;-3.322629404413491
V1;CD;4;9;-4.099424614492374
V1;CD;4;10;-4.484529419923147
V1;CD;5;0;-1.4355167440651504
V1;CD;5;1;-1.6519671671346
V1;CD;5;2;-2.122530682625426
V1;CD;5;3;-2.6257876368037705
V1;CD;5;4;-3.16516619599839
V1;CD;5;5;-3.6481828970332746
V1;CD;5;6;-4.0086112111322025
V1;CD;5;7;-4.286619641410232
V1;CD;5;8;-4.506244714967379
V1;CD;5;9;-4.66000497743095
V1;CD;5;10;-4.730588372918009
V1;CD;6;0;-1.107388859447396
V1;CD;6;1;-1.2422861978804305
V1;CD;6;2;-1.3448130371876232
V1;CD;6;3;-1.5062132884777462
V1;CD;6;4;-1.7252489755209264
V1;CD;6;5;-1.9494798224281114
V1;CD;6;6;-2.163437397785236
V1;CD;6;7;-2.3342066315781924
V1;CD;6;8;-2.4751980036393997
V1;CD;6;9;-2.552031156862618
V1;CD;6;10;-2.557834775236772
V2;PD;0;0;-0.968476301281255
V2;PD;0;1;-1.0306724069630486
V2;PD;0;2;-1.1747207737495213
V2;PD;0;3;-1.3832112782198607
V2;PD;0;4;-1.6421009367512391
V2;PD;0;5;-1.9631693318812848
V2;PD;0;6;-2.4151990073567617
V2;PD;0;7;-2.9557792434852472
V2;PD;0;8;-3.564210205011655
V2;PD;0;9;-4.120677413113967
V2;PD;0;10;-4.309734863976841
V2;PD;1;0;-1.4998550812425802
V2;PD;1;1;-1.6295952082648972
V2;PD;1;2;-1.8383472050935818
V2;PD;1;3;-2.074261583799395
V2;PD;1;4;-2.3527408002636845
V2;PD;1;5;-2.6874443373560832
V2;PD;1;6;-3.1291375885430894
V2;PD;1;7;-3.6561171530600176
V2;PD;1;8;-4.257613832999671
V2;PD;1;9;-4.812865251250438
V2;PD;1;10;-5.0482923952484935
V2;PD;2;0;-0.755044557752262
V2;PD;2;1;-0.7984461599727007
V2;PD;2;2;-0.887711544639232
V2;PD;2;3;-1.0245397754867496
V2;PD;2;4;-1.1929089378693454
V2;PD;2;5;-1.3994242821150968
V2;PD;2;6;-1.6505170988696958
V2;PD;2;7;-1.9278982073121669
V2;PD;2;8;-2.2176584726246564
V2;PD;2;9;-2.460279332093447
V2;PD;2;10;-2.5996087166678947
V2;PD;3;0;-1.0508359799238474
V2;PD;3;1;-1.1777873924354236
V2;PD;3;2;-1.3884015754952188
V2;PD;3;3;-1.6203148829947651
V2;PD;3;4;-1.8884562778003184
V2;PD;3;5;-2.204941909198909
V2;PD;3;6;-2.6026164615366634
V2;PD;3;7;-3.0562024118829942
V2;PD;3;8;-3.5545954575573204
V2;PD;3;9;-4.003243545805125
V2;PD;3;10;-4.150498864014861
V2;PD;4;0;-1.6521429603251983
