ROI;Condition;Subject;Volume;Vertices;PSC
V2;BRIGHT_SQUARE;1;4;541.0;0.0018484375693581321
V2;BRIGHT_SQUARE;1;5;541.0;-0.0031927390532060103
V2;BRIGHT_SQUARE;1;6;541.0;-0.0043690096248279915
V2;BRIGHT_SQUARE;1;7;541.0;0.002352584492076527
V2;BRIGHT_SQUARE;1;8;541.0;0.0043690096248279915
V2;BRIGHT_SQUARE;1;9;541.0;0.006049383770335804
V2;BRIGHT_SQUARE;1;10;541.0;-0.002352530306035822
V2;BRIGHT_SQUARE;2;0;1408.0;0.0006456700238314542
V2;BRIGHT_SQUARE;2;1;1408.0;0.0027763193303888493
V2;BRIGHT_SQUARE;2;2;1408.0;0.004519625143571334
V2;BRIGHT_SQUARE;2;3;1408.0;0.0008393634449351918
V2;BRIGHT_SQUARE;2;4;1408.0;-0.007295982404188676
V2;BRIGHT_SQUARE;2;5;1408.0;-0.012848658995194868
V2;BRIGHT_SQUARE;2;6;1408.0;-0.012073858217759565
V2;BRIGHT_SQUARE;2;7;1408.0;-0.00490702282298695
V2;BRIGHT_SQUARE;2;8;1408.0;0.0
V2;BRIGHT_SQUARE;2;9;1408.0;-0.002324380657889626
V2;BRIGHT_SQUARE;2;10;1408.0;-0.006198357452045788
V2;BRIGHT_SQUARE;3;0;1228.0;0.0022208690643310144
V2;BRIGHT_SQUARE;3;1;1228.0;0.005349406615254141
V2;BRIGHT_SQUARE;3;2;1228.0;0.007539457801073033
V2;BRIGHT_SQUARE;3;3;1228.0;0.006815211021989494
V2;BRIGHT_SQUARE;3;4;1228.0;-0.0004539734106133529
V2;BRIGHT_SQUARE;3;5;1228.0;-0.0018471369791172234
V2;BRIGHT_SQUARE;3;6;1228.0;0.00112978238097909
V2;BRIGHT_SQUARE;3;7;1228.0;0.0055768268191590635
V2;BRIGHT_SQUARE;3;8;1228.0;0.008668198869117759
V2;BRIGHT_SQUARE;3;9;1228.0;0.0030748823977322774
V2;BRIGHT_SQUARE;3;10;1228.0;-0.0036648063305206465
V2;KANIZSA;0;0;1479.0;0.0002458745783025568
V2;KANIZSA;0;1;1479.0;-0.003134787082672119
V2;KANIZSA;0;2;1479.0;-0.012416254390369762
V2;KANIZSA;0;3;1479.0;-0.007437456737865101
V2;KANIZSA;0;4;1479.0;-0.011985990134152498
V2;KANIZSA;0;5;1479.0;-0.007929184220053932
V2;KANIZSA;0;6;1479.0;-0.007621851834383878
V2;KANIZSA;0;7;1479.0;-0.0052246559749950065
V2;KANIZSA;0;8;1479.0;-0.003503604368730025
V2;KANIZSA;0;9;1479.0;-0.0014751878651705656
V2;KANIZSA;0;10;1479.0;-0.0035650567574934526
