ROI;Condition;Subject;Depth;PSC
V1;CD;0;5;-2.71215592155936
V1;CD;0;6;-3.255115161816103
V1;CD;0;7;-3.777309530403162
V1;CD;0;8;-4.270452418339321
V1;CD;0;9;-4.61544164959648
V1;CD;0;10;-4.7697089893135765
V1;CD;1;0;-2.0392347015602033
V1;CD;1;1;-2.2191635681858655
V1;CD;1;2;-2.6087346506264506
V1;CD;1;3;-3.0921100151708183
V1;CD;1;4;-3.6125122987309983
V1;CD;1;5;-4.189382406591127
V1;CD;1;6;-4.899890983936381
V1;CD;1;7;-5.711919620251433
V1;CD;1;8;-6.563707842659455
V1;CD;1;9;-7.251344587806274
V1;CD;1;10;-7.524360709235841
V1;CD;2;0;-0.844797246198596
V1;CD;2;1;-0.9720956083400388
V1;CD;2;2;-1.185631974017723
V1;CD;2;3;-1.3755363338608422
V1;CD;2;4;-1.5474477213921962
V1;CD;2;5;-1.768911819386809
V1;CD;2;6;-2.0494376326741914
V1;CD;2;7;-2.3740174957230966
V1;CD;2;8;-2.7526690311979283
V1;CD;2;9;-3.0980713572698115
V1;CD;2;10;-3.2518908753314335
V1;CD;3;0;-0.9148347190838957
V1;CD;3;1;-0.9630017747566644
V1;CD;3;2;-1.0622378253858045
V1;CD;3;3;-1.2621477853848617
V1;CD;3;4;-1.5930674473283146
V1;CD;3;5;-2.0247399982948995
V1;CD;3;6;-2.6058908960562763
V1;CD;3;7;-3.2572208989404454
V1;CD;3;8;-3.993109471426475
V1;CD;3;9;-4.725492792009082
V1;CD;3;10;-5.200597823241021
V1;CD;4;0;-1.208268685113847
V1;CD;4;1;-1.265680702064104
V1;CD;4;2;-1.3744415385452615
V1;CD;4;3;-1.5359431716741796
V1;CD;4;4;-1.7279747057610317
V1;CD;4;5;-1.9807363915569018
V1;CD;4;6;-2.3855179754870908
V1;CD;4;7;-2.887879450451322
V1;CD;4;8;-3.541010036981344
V1;CD;4;9;-4.258688902538696
V1;CD;4;10;-4.6329977974111465
V1;CD;5;0;-1.375135382718343
V1;CD;5;1;-1.55837010884505
V1;CD;5;2;-1.9541594752484943
V1;CD;5;3;-2.396756176892876
V1;CD;5;4;-2.838546083979914
V1;CD;5;5;-3.224953934907147
V1;CD;5;6;-3.559700114137143
V1;CD;5;7;-3.832796312514313
V1;CD;5;8;-4.06508010091751
V1;CD;5;9;-4.233681943232231
V1;CD;5;10;-4.292334318054954
V1;CD;6;0;-1.0911034559030133
V1;CD;6;1;-1.2171998403318889
V1;CD;6;2;-1.3104710790011158
