ROI;Condition;Subject;Volume;Vertices;PSC
V1;BRIGHT_SQUARE;2;10;6350.0;0.003178260543129661
V1;BRIGHT_SQUARE;2;11;6350.0;0.0012884356758811257
V1;BRIGHT_SQUARE;2;12;6350.0;0.002204743298617276
V1;BRIGHT_SQUARE;2;13;6350.0;-0.0015747980637983842
V1;BRIGHT_SQUARE;2;14;6350.0;0.0039226900447498665
V1;BRIGHT_SQUARE;2;15;6350.0;0.003865437074141069
V1;BRIGHT_SQUARE;2;16;6350.0;0.0006585337898947976
V1;BRIGHT_SQUARE;2;17;6350.0;0.003063732927495783
V1;BRIGHT_SQUARE;2;18;6350.0;0.002891908992420543
V1;BRIGHT_SQUARE;2;19;6350.0;0.002491040663285689
V1;BRIGHT_SQUARE;3;0;4792.0;0.0032355135137384586
V1;BRIGHT_SQUARE;3;1;4792.0;0.00552612001245672
V1;BRIGHT_SQUARE;3;2;4792.0;-0.0009448690847917037
V1;BRIGHT_SQUARE;3;3;4792.0;0.00031495094299316406
V1;BRIGHT_SQUARE;3;4;4792.0;0.0008303252133456143
V1;BRIGHT_SQUARE;3;5;4792.0;0.0026628537611527877
V1;BRIGHT_SQUARE;3;6;4792.0;0.0006585663015192205
V1;BRIGHT_SQUARE;3;7;4792.0;0.0007730614055286754
V1;BRIGHT_SQUARE;3;8;4792.0;0.0005440170114690608
V1;BRIGHT_SQUARE;3;9;4792.0;0.00105938044461337
V1;BRIGHT_SQUARE;3;10;4792.0;0.003178260543129661
V1;BRIGHT_SQUARE;3;11;4792.0;0.0012884356758811257
V1;BRIGHT_SQUARE;3;12;4792.0;0.002204743298617276
V1;BRIGHT_SQUARE;3;13;4792.0;-0.0015747980637983842
V1;BRIGHT_SQUARE;3;14;4792.0;0.0039226900447498665
V1;BRIGHT_SQUARE;3;15;4792.0;0.003865437074141069
V1;BRIGHT_SQUARE;3;16;4792.0;0.0006585337898947976
V1;BRIGHT_SQUARE;3;17;4792.0;0.003063732927495783
V1;BRIGHT_SQUARE;3;18;4792.0;0.002891908992420543
V1;BRIGHT_SQUARE;3;19;4792.0;0.002491040663285689
