ROI;Condition;Subject;Depth;PSC
V1;CD;4;7;-0.5677501505763359
V1;CD;4;8;-0.9021008590239614
V1;CD;4;9;-1.1261643163921469
V1;CD;4;10;-1.1541891634769499
V1;CD;5;0;-0.055477134773873886
V1;CD;5;1;0.05711850683145211
V1;CD;5;2;0.17664296762864734
V1;CD;5;3;0.2647940536745175
V1;CD;5;4;0.2832695710258685
V1;CD;5;5;0.1942291477777827
V1;CD;5;6;-0.0026750276192277385
V1;CD;5;7;-0.2432206566109979
V1;CD;5;8;-0.45680121278623087
V1;CD;5;9;-0.5728101697336297
V1;CD;5;10;-0.5206410010418969
V1;CD;6;0;0.06371569406754296
V1;CD;6;1;0.010952349492556726
V1;CD;6;2;0.051838724083831
V1;CD;6;3;0.14414677123753306
V1;CD;6;4;0.24564844434983021
V1;CD;6;5;0.3143301080286291
V1;CD;6;6;0.3255848866956892
V1;CD;6;7;0.28478402275332704
V1;CD;6;8;0.20026277919494537
V1;CD;6;9;0.08035641901394663
V1;CD;6;10;-0.06659979479626692
V2;PD;0;0;0.24302191207894044
V2;PD;0;1;0.3138978604108801
V2;PD;0;2;0.4137208793633853
V2;PD;0;3;0.5230196522880495
V2;PD;0;4;0.6223228625364661
V2;PD;0;5;0.6921591934602284
V2;PD;0;6;0.7130573284109295
V2;PD;0;7;0.6656953467025138
V2;PD;0;8;0.5343005224287858
V2;PD;0;9;0.3067133115072149
V2;PD;0;10;-0.029063635492789175
V2;PD;1;0;0.6464664120255059
V2;PD;1;1;0.4650611506260931
V2;PD;1;2;0.40051146484329425
V2;PD;1;3;0.4146559280258181
V2;PD;1;4;0.46933311352237295
V2;PD;1;5;0.5263815946816676
V2;PD;1;6;0.5476399448524103
V2;PD;1;7;0.4966132754535059
V2;PD;1;8;0.37639858597175585
V2;PD;1;9;0.23039855061859643
V2;PD;1;10;0.10382515329488512
V2;PD;2;0;0.43013208439239087
V2;PD;2;1;0.3623327665918906
V2;PD;2;2;0.3878123245975015
V2;PD;2;3;0.4632659042535596
V2;PD;2;4;0.5453886514044015
V2;PD;2;5;0.5908757118943635
V2;PD;2;6;0.5564222315677819
V2;PD;2;7;0.40201832920545266
V2;PD;2;8;0.16593268320830518
V2;PD;2;9;-0.033876214883450995
V2;PD;2;10;-0.07587262164023553
V2;PD;3;0;-0.49416552523938684
V2;PD;3;1;-0.31040203754790174
V2;PD;3;2;-0.1279477918411258
V2;PD;3;3;0.036541644095836615
V2;PD;3;4;0.1664107024778813
V2;PD;3;5;0.2450038155199041
V2;PD;3;6;0.2556654154368009
V2;PD;3;7;0.1831506375312051
V2;PD;3;8;0.04572864222500919
V2;PD;3;9;-0.10421317369658825
V2;PD;3;10;-0.2127558560173361
V2;PD;4;0;-0.11419622017295208
V2;PD;4;1;-0.08013750409987146
V2;PD;4;2;-0.10689028330349228
V2;PD;4;3;-0.177098999570086
V2;PD;4;4;-0.27340809468592403
V2;PD;4;5;-0.3784620104372777
V2;PD;4;6;-0.47490518861041864
V2;PD;4;7;-0.5462128854399809
V2;PD;4;8;-0.5955979876612338
V2;PD;4;9;-0.6463668545265782
V2;PD;4;10;-0.7227278352629709
V2;PD;5;0;-0.013478027904501663
V2;PD;5;1;-0.05474694365421046
V2;PD;5;2;-0.10467221160083555
V2;PD;5;3;-0.16218194084647636
V2;PD;5;4;-0.22620424049323232
V2;PD;5;5;-0.29566721964320286
V2;PD;5;6;-0.3694989873984876
V2;PD;5;7;-0.445841962274817
V2;PD;5;8;-0.5041729383369603
V2;PD;5;9;-0.5049665699597979
V2;PD;5;10;-0.4078445111480252
V2;PD;6;0;0.22162575629014594
V2;PD;6;1;0.21938608889222436
V2;PD;6;2;0.2160584083713448
V2;PD;6;3;0.21198967032593796
V2;PD;6;4;0.20752683035443448
V2;PD;6;5;0.20301684405526504
V2;PD;6;6;0.19880666702686023
V2;PD;6;7;0.19512084109129088
V2;PD;6;8;0.1892757281626594
